#{"t_start": 1637425520.1133301, "env_id": null}
r,l,t
-1004.08655,20,1102.800619
-459.827606,501,1107.247909
-453.458057,501,1111.736857
-991.445181,24,1112.03453
-982.593116,22,1112.320238
-1041.274783,46,1112.830624
-466.205633,501,1117.264987
-984.681122,19,1117.520964
-991.802596,26,1117.850917
-996.049262,18,1118.078149
-1009.593929,32,1118.454482
-455.156187,501,1122.903784
-456.126162,501,1127.395806
-1006.591379,31,1127.748149
-464.99971,501,1132.277166
-458.382279,501,1136.852846
-459.156812,501,1141.443359
-994.3126,20,1141.737727
-1023.606546,20,1141.998345
-460.914247,501,1146.611338
-1013.174449,33,1147.057781
-468.659248,501,1151.951014
-457.573743,501,1156.688062
-455.8731,501,1161.300864
-991.968395,24,1161.577441
-458.045851,501,1166.069285
-458.661988,501,1170.529761
-458.281218,501,1174.984247
-995.843051,18,1175.221012
-1042.118059,46,1175.693751
-1038.134621,44,1176.192051
-991.24702,21,1176.441693
-1041.646582,47,1176.918737
-453.79877,501,1181.398073
-1028.889267,22,1181.659598
-1039.680022,45,1182.144936
-456.22219,501,1186.593939
-992.804041,21,1186.845073
-990.17089,22,1187.113962
-990.671982,23,1187.390828
-1005.043721,30,1187.734768
-995.320996,19,1188.001747
-457.122224,501,1192.522272
-1017.476158,35,1192.903223
-990.738134,26,1193.204009
-458.32385,501,1197.69082
-456.875016,501,1202.196743
-457.933172,501,1206.685873
-455.122138,501,1211.163726
-453.769005,501,1215.660203
-991.651818,22,1215.940353
-1012.108493,33,1216.294068
-456.102218,501,1220.776208
-455.658262,501,1225.273616
-992.514527,20,1225.529922
-1025.672839,36,1225.928445
-989.977169,22,1226.19403
-1012.100346,33,1226.558777
-460.972378,501,1231.040645
-1035.328121,35,1231.493239
-457.533288,501,1235.918931
-986.118285,23,1236.204083
-1039.676974,44,1236.664408
-457.523626,501,1241.129131
-995.300367,19,1241.383451
-992.909703,21,1241.652399
-993.720564,26,1241.987337
-457.610204,501,1246.445888
-456.072924,501,1250.952309
-994.410387,18,1251.180983
-1009.089317,32,1251.551812
-1024.374406,15,1251.746811
-991.466046,21,1252.012337
-992.885701,25,1252.317191
-453.671931,501,1256.796292
-996.007093,18,1257.014538
-460.73907,501,1261.507978
-459.995588,501,1265.994349
-458.677219,501,1270.468246
-455.540465,501,1274.977712
-1003.528391,21,1275.228519
-1019.834375,36,1275.636904
-1017.347822,35,1276.014043
-458.299423,501,1280.530018
-460.549774,501,1285.028084
-458.119558,501,1289.469662
-459.264532,501,1294.054517
-1010.16709,32,1294.42152
-1023.314429,18,1294.665416
-460.174397,501,1299.19642
-456.176942,501,1303.62607
-454.838097,501,1308.127522
-1004.869172,30,1308.462919
-1009.352741,32,1308.808123
-461.714865,501,1313.274379
-456.649177,501,1317.78543
-457.848862,501,1322.28552
-454.334247,501,1326.764482
-989.459801,23,1327.034492
-462.17207,501,1331.496905
-993.978321,26,1331.79537
-991.228724,22,1332.085399
-457.539422,501,1336.633479
-459.131028,501,1341.128652
-459.699834,501,1345.687551
-458.824646,501,1350.123653
-1041.217713,46,1350.606074
-989.126112,20,1350.869235
-991.479889,22,1351.141101
-1015.588193,34,1351.522574
-458.569453,501,1355.981017
-991.494926,22,1356.248726
-989.68392,23,1356.533924
-1047.478049,49,1357.050939
-1034.594075,21,1357.294377
-457.211661,501,1361.785572
-457.159194,501,1366.310158
-1038.89912,44,1366.75692
-455.896406,501,1371.192657
-462.107635,501,1375.671567
-462.596311,501,1380.215925
-456.381315,501,1384.736871
-457.107869,501,1389.216721
-1007.361908,31,1389.590763
-460.025628,501,1394.098177
-1012.704005,33,1394.473966
-982.749342,18,1394.710965
-992.025174,21,1395.012615
-991.963207,24,1395.293576
-1037.254597,38,1395.683615
-991.919355,25,1395.971168
-457.536511,501,1400.438332
-461.094471,501,1404.921876
-459.518176,501,1409.469989
-1009.654056,32,1409.825752
-458.025084,501,1414.321538
-459.345089,501,1418.792102
-462.695063,501,1423.306896
-458.397478,501,1427.773539
-1009.367215,33,1428.148259
-458.424368,501,1432.596065
-995.694491,19,1432.877321
-991.687809,24,1433.16847
-990.941361,22,1433.442314
-994.707947,12,1433.63298
-991.107271,22,1433.891944
-458.133068,501,1438.382066
-990.271765,22,1438.673432
-459.273639,501,1443.150053
-454.612708,501,1447.644005
-1035.19877,35,1448.029071
-999.137999,28,1448.352257
-456.990518,501,1452.784116
-1006.596113,32,1453.179677
-457.188901,501,1457.706086
-995.435352,19,1457.954
-1007.264073,15,1458.161243
-455.888516,501,1462.614391
-991.114544,24,1462.905878
-992.573741,25,1463.193949
-455.82219,501,1467.655062
-458.235441,501,1472.144706
-459.945279,501,1476.580805
-993.932227,20,1476.821718
-456.822612,501,1481.261148
-452.118004,501,1485.690121
-459.653907,501,1490.170568
-458.662401,501,1494.61648
-456.131064,501,1499.152053
-991.336124,22,1499.429778
-458.905352,501,1503.881679
-454.507268,501,1508.426357
-990.250231,24,1508.716977
-454.694129,501,1513.185092
-457.531848,501,1517.604866
-1036.704602,37,1518.003114
-460.436598,501,1522.460071
-1014.792071,34,1522.82487
-1019.843336,36,1523.207611
-1017.836668,35,1523.591019
-989.168912,25,1523.880575
-991.114529,22,1524.138984
-459.477546,501,1528.606323
-1044.267982,48,1529.106521
-991.517253,24,1529.422011
-461.640143,501,1533.824609
-1015.078279,35,1534.214514
-454.866162,501,1538.66642
-453.520089,501,1543.256914
-1014.645702,35,1543.661537
-459.058728,501,1548.310165
-1022.495336,21,1548.59561
-462.099659,501,1553.150882
-457.781467,501,1557.812378
-457.109012,501,1562.279933
-989.208871,23,1562.557552
-995.886447,18,1562.791489
-992.02472,21,1563.056857
-990.21359,23,1563.359341
-456.600014,501,1567.836951
-456.292761,501,1572.48075
-457.95279,501,1577.329947
-456.11498,501,1582.018632
-461.936964,501,1586.619358
-990.909129,22,1586.905106
-456.757189,501,1591.418204
-457.441635,501,1595.953859
-457.262095,501,1600.684012
-1038.344733,44,1601.2082
-991.504023,21,1601.475164
-989.398218,24,1601.779624
-458.604425,501,1606.301451
-1010.38304,32,1606.687045
-456.885886,501,1611.194713
-1004.63098,30,1611.531652
-457.950249,501,1616.011055
